SessionType,Schedule,timepoint,AnimalID,CellID,numEvents,numAnalyzedEvents,zScorePre,zScorePost,DPrimeSig,DPrimeCategory,zScoreOverall_ 1,zScoreOverall_ 2,zScoreOverall_ 3,zScoreOverall_ 4,zScoreOverall_ 5,zScoreOverall_ 6,zScoreOverall_ 7,zScoreOverall_ 8,zScoreOverall_ 9,zScoreOverall_10,zScoreOverall_11,zScoreOverall_12,zScoreOverall_13,zScoreOverall_14,zScoreOverall_15,zScoreOverall_16,zScoreOverall_17,zScoreOverall_18,zScoreOverall_19,zScoreOverall_20,zScoreOverall_21,zScoreOverall_22,zScoreOverall_23,zScoreOverall_24,zScoreOverall_25,zScoreOverall_26,zScoreOverall_27,zScoreOverall_28,zScoreOverall_29,zScoreOverall_30,zScoreOverall_31,zScoreOverall_32,zScoreOverall_33,zScoreOverall_34,zScoreOverall_35,zScoreOverall_36,zScoreOverall_37,zScoreOverall_38,zScoreOverall_39,zScoreOverall_40,zScoreOverall_41,zScoreOverall_42,zScoreOverall_43,zScoreOverall_44,zScoreOverall_45,zScoreOverall_46,zScoreOverall_47,zScoreOverall_48,zScoreOverall_49,zScoreOverall_50,zScoreOverall_51,zScoreOverall_52,zScoreOverall_53,zScoreOverall_54,zScoreOverall_55,zScoreOverall_56,zScoreOverall_57,zScoreOverall_58,zScoreOverall_59,zScoreOverall_60,zScoreOverall_61
RRRI,LL,04,M13,11,3,2,-0.0957793468426018,0.435360667466375,0,nochange,2.01747985902503,2.01747985902503,1.39593303376984,0.774386208514658,0.774386208514658,-0.468707441995713,0.152839383259472,-0.468707441995713,-0.468707441995713,-0.468707441995713,-0.468707441995713,-1.0902542672509,-1.0902542672509,-1.0902542672509,-1.0902542672509,-1.0902542672509,-1.0902542672509,-1.0902542672509,-1.0902542672509,-1.0902542672509,-1.0902542672509,-0.468707441995713,-0.468707441995713,0.774386208514658,2.01747985902503,2.01747985902503,1.39593303376984,2.01747985902503,0.774386208514658,0.152839383259472,0.152839383259472,0.152839383259472,-0.468707441995713,-0.468707441995713,-0.468707441995713,-0.468707441995713,0.152839383259472,0.152839383259472,2.01747985902503,1.39593303376984,1.39593303376984,1.39593303376984,1.39593303376984,0.152839383259472,0.152839383259472,0.152839383259472,-0.468707441995713,-0.468707441995713,-1.0902542672509,-1.0902542672509,-0.468707441995713,-0.468707441995713,-0.468707441995713,-0.468707441995713,0.152839383259472,-0.468707441995713,-0.468707441995713,-0.468707441995713,-0.468707441995713,-1.0902542672509,-1.0902542672509
RRRI,LL,04,M14,1,2,2,-0.290986214265464,1.32266461029756,1,increase,1.02563316590704,-0.184494940869158,-0.426520562224398,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.426520562224398,-0.426520562224398,-0.426520562224398,-0.0634821301915383,1.3886715979399,2.11474846200562,2.84082532607134,2.84082532607134,2.84082532607134,1.3886715979399,0.662594733874181,0.299556301841321,0.299556301841321,-0.0634821301915383,-0.0634821301915383,-0.426520562224398,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.789558994257258,-0.0634821301915383,-0.0634821301915383,0.299556301841321,1.02563316590704,1.02563316590704,0.662594733874181,1.3886715979399,1.02563316590704,0.299556301841321,0.299556301841321,-0.0634821301915383,-0.789558994257258,-0.0634821301915383,0.299556301841321,1.02563316590704,1.02563316590704
RRRI,LL,04,M14,2,2,2,-0.0308103963923389,0.140047256328813,0,nochange,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,1.62012114768226,1.62012114768226,1.62012114768226,1.62012114768226,3.33389091661783,0.763236263214476,0.763236263214476,0.763236263214476,0.763236263214476,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,0.763236263214476,-0.0936486212533099,-0.0936486212533099,0.763236263214476,0.763236263214476,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,0.763236263214476,0.763236263214476,0.763236263214476,0.763236263214476,-0.0936486212533099,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.950533505721096,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,-0.0936486212533099,0.763236263214476,0.47760796839188,3.33389091661783
RRRI,LL,04,M14,3,2,2,-0.0160943312939613,0.073156051336187,0,nochange,-0.388483858819752,0.0817049385612963,0.175742698037506,0.175742698037507,-0.388483858819752,-0.95271041567701,-0.106370580391122,-0.106370580391122,0.457855976466136,1.58630909018065,3.27898876075243,2.9968754823238,2.9968754823238,2.15053564703791,1.02208253332339,0.457855976466136,0.175742698037507,0.175742698037507,0.739969254894764,0.739969254894764,-0.388483858819752,-1.23482369410564,-1.23482369410564,-1.23482369410564,-0.95271041567701,-0.106370580391122,0.457855976466135,0.175742698037506,0.175742698037507,0.175742698037507,-0.106370580391122,0.175742698037507,0.175742698037507,0.175742698037506,-0.106370580391122,-0.388483858819752,-0.670597137248381,-0.670597137248381,-1.23482369410564,-0.388483858819752,0.739969254894765,0.457855976466136,0.175742698037507,0.457855976466136,-0.106370580391122,-0.670597137248381,-0.106370580391122,-0.388483858819752,-0.106370580391122,-0.670597137248381,-1.23482369410564,-1.23482369410564,-0.95271041567701,-0.95271041567701,-0.388483858819752,0.175742698037506,-0.388483858819752,0.175742698037506,-0.388483858819752,-0.8586726562008,-1.7990502509629
RRRI,LL,04,M14,4,2,2,-0.0260261661874467,0.118300755397486,0,nochange,-2.41337088259908,-1.81831985657425,-0.98524842013948,0.442874042320123,1.87099650477973,2.22802712039463,2.22802712039463,1.87099650477973,0.442874042320123,-0.271187188909678,-0.62821780452458,0.0858434267052223,-0.62821780452458,0.0858434267052223,-0.271187188909678,-0.271187188909678,-0.271187188909678,0.442874042320123,-0.271187188909678,-0.62821780452458,-0.271187188909678,-0.62821780452458,-1.34227903575438,-0.62821780452458,1.15693527354992,0.799904657935024,0.799904657935024,1.15693527354992,0.799904657935024,-0.62821780452458,-0.271187188909678,-0.271187188909678,0.0858434267052223,-0.271187188909678,-0.271187188909678,-0.62821780452458,-0.62821780452458,-0.271187188909678,0.442874042320123,0.442874042320123,0.0858434267052223,0.799904657935024,-0.271187188909678,-0.271187188909679,-0.271187188909679,0.799904657935024,0.442874042320123,1.15693527354992,1.15693527354992,0.799904657935024,-0.271187188909678,-0.62821780452458,-0.98524842013948,-1.69930965136928,-1.69930965136928,-1.34227903575438,-1.69930965136928,-0.271187188909679,0.442874042320123,1.75198629957476,1.15693527354992
RRRI,LL,04,M14,5,2,2,0.26651119532201,-1.21141452419095,1,decrease,2.35148482119948,0.159544508039818,-0.0158107170129551,-0.541876392171274,-0.278843554592115,0.247222120566204,-0.0158107170129549,-0.0158107170129549,-0.0158107170129549,-0.541876392171274,-0.0158107170129549,0.773287795724524,0.510254958145364,1.03632063330368,1.562386308462,1.03632063330368,0.247222120566205,0.773287795724524,1.03632063330368,0.773287795724524,1.03632063330368,1.562386308462,1.29935347088284,0.510254958145364,0.510254958145364,-0.0158107170129549,-0.541876392171274,-0.804909229750434,-1.06794206732959,-1.33097490490875,-1.59400774248791,-1.59400774248791,-1.59400774248791,-1.59400774248791,-1.59400774248791,-1.59400774248791,-1.59400774248791,-1.06794206732959,-0.278843554592115,-0.278843554592115,0.247222120566205,0.773287795724524,0.510254958145364,-0.278843554592115,0.247222120566205,0.773287795724524,1.03632063330368,1.562386308462,1.562386308462,1.29935347088284,0.510254958145364,-0.278843554592115,-0.804909229750434,0.247222120566205,-0.0158107170129551,-0.0158107170129551,-0.0158107170129551,-0.278843554592115,-1.33097490490875,-1.59400774248791,-1.59400774248791
RRRI,LL,04,M14,6,2,2,-0.0756760257714765,0.343981935324895,0,nochange,-1.21495242058392,0.756114006427225,-0.919292456532245,-0.919292456532245,-2.3975922767906,-1.51061238463559,-0.623632492480574,-0.327972528428903,-0.623632492480573,0.854667327777783,0.559007363726111,-0.327972528428902,0.559007363726111,1.15032729182945,0.26334739967444,1.15032729182945,1.7416472199328,1.15032729182945,0.854667327777782,0.26334739967444,-1.21495242058392,-1.21495242058392,-1.21495242058392,-0.623632492480573,-0.623632492480574,-0.327972528428903,-0.919292456532245,-0.327972528428903,0.26334739967444,1.44598725588112,1.15032729182945,1.7416472199328,1.15032729182945,-0.0323125643772312,-0.327972528428903,-0.0323125643772312,-0.327972528428903,0.26334739967444,-0.327972528428903,-0.919292456532245,-1.21495242058392,-0.623632492480573,-0.623632492480574,-0.623632492480574,-0.623632492480574,-0.327972528428903,-0.327972528428902,-0.327972528428903,1.15032729182945,1.7416472199328,1.7416472199328,1.44598725588112,1.7416472199328,0.26334739967444,-0.0323125643772312,-0.623632492480573,-0.919292456532245,-1.51061238463559,-0.327972528428903,0.26334739967444,1.7416472199328
RRRI,LL,04,M14,7,2,2,0.083041063432605,-0.377459379239112,0,nochange,0.898950840670174,-0.66110609477451,0.898950840670174,1.13295938098688,2.77101916320379,3.0050277035205,1.83498500193698,0.898950840670174,-0.0370833205966358,-1.67514310281355,-1.90915164313026,-1.20712602218015,-0.505100401230041,0.196925219720067,-0.0370833205966358,-0.271091860913338,-0.973117481863446,-1.44113456249685,-1.90915164313026,-1.20712602218015,-0.50510040123004,-0.0370833205966358,-0.50510040123004,-0.271091860913338,-0.973117481863446,-1.20712602218015,-0.973117481863446,-0.739108941546743,-0.271091860913338,0.196925219720067,-0.271091860913337,-0.271091860913337,0.196925219720067,-0.739108941546743,-0.50510040123004,0.430933760036769,-0.0370833205966348,0.196925219720067,1.13295938098688,0.664942300353472,0.196925219720067,0.43093376003677,-0.0370833205966358,0.196925219720067,1.36696792130358,1.60097646162028,1.60097646162028,1.13295938098688,-0.0370833205966348,-0.271091860913338,-0.739108941546744,-0.50510040123004,-0.50510040123004,0.898950840670174,0.43093376003677,0.196925219720067,0.196925219720067,0.196925219720067,-0.739108941546743,-0.661106094774509,-0.271091860913338
RRRI,LL,04,M14,8,2,2,0.00294972347475492,-0.0134078339761617,0,nochange,1.10825324837241,0.465634919943539,1.49382424542973,0.722682251315087,0.722682251315087,0.722682251315086,-0.0484597427995543,-0.434030739856875,-0.0484597427995548,0.337111254257766,0.337111254257766,0.337111254257766,0.722682251315086,0.722682251315087,0.722682251315086,1.49382424542973,1.10825324837241,1.10825324837241,2.26496623954437,1.49382424542973,0.337111254257766,1.10825324837241,1.49382424542973,0.722682251315086,1.10825324837241,0.722682251315086,-0.434030739856875,-0.819601736914196,-0.434030739856875,-0.0484597427995543,0.337111254257766,0.337111254257766,-0.0484597427995548,0.337111254257766,-0.0484597427995543,-0.0484597427995543,-0.0484597427995543,0.337111254257766,-0.434030739856875,-0.819601736914196,-0.819601736914196,-0.434030739856875,-1.20517273397152,-1.20517273397152,-0.0484597427995543,-0.434030739856875,-0.434030739856875,0.337111254257766,0.337111254257766,-0.819601736914196,-0.434030739856875,-0.819601736914196,-1.20517273397152,-1.97631472808616,-1.97631472808616,-2.36188572514348,-1.59074373102884,-0.819601736914196,-0.819601736914196,0.465634919943539,-2.7474567222008
RRRI,LL,04,M14,9,2,2,-0.0550749209741306,0.250340549882408,0,nochange,0.223751855379517,0.223751855379517,0.516227494911316,0.516227494911316,0.223751855379517,-0.0687237841522815,-0.0687237841522811,-0.946150702747676,-0.946150702747676,-0.946150702747676,-0.653675063215878,-0.361199423684079,-0.0687237841522811,-0.361199423684079,-0.361199423684079,-0.653675063215878,-1.23862634227947,-1.53110198181127,-1.53110198181127,-1.23862634227947,-0.946150702747676,-1.23862634227947,-0.361199423684079,0.223751855379517,0.223751855379517,1.10117877397491,1.97860569257031,1.97860569257031,1.68613005303851,1.39365441350671,0.223751855379517,-0.361199423684079,-0.946150702747676,-1.53110198181127,-1.82357762134307,-0.946150702747676,-0.946150702747676,-0.946150702747676,0.808703134443114,1.97860569257031,1.10117877397491,1.10117877397491,1.10117877397491,-0.653675063215878,-1.23862634227947,-1.23862634227947,-0.653675063215878,-0.653675063215878,-0.0687237841522811,-0.0687237841522811,0.516227494911316,0.223751855379517,0.808703134443114,0.516227494911316,0.808703134443114,0.516227494911316,1.10117877397491,0.516227494911316,1.10117877397491,1.19867065381884,1.68613005303851
